Clean_Alternative_Fuel_Vehicle_Type,VIN_(1-10),DOL_Vehicle_ID,Model_Year,Make,Model,Primary_Use,Electric_Range,Odometer_Reading,Odometer_Reading_Description,New_or_Used_Vehicle,Sale_Price,Sale_Date,Transaction_Type,Transaction_Date,Year,County,City,State,Postal_Code,Electric_Utility
Battery Electric Vehicle (BEV),1FADP3R40D,228363551,2013,FORD,Focus,Passenger,76,32019,Actual Mileage,Used,9798,2017-02-04,Transfer Title,2017-02-25,2017,King,MEDINA,WA,98039,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R40E,349893071,2014,FORD,Focus,Passenger,76,18822,Actual Mileage,Used,12999,2017-07-05,Original Title,2017-07-20,2017,King,FEDERAL WAY,WA,98023,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Battery Electric Vehicle (BEV),1FADP3R40F,298543024,2015,FORD,Focus,Passenger,76,47227,Actual Mileage,Used,11599,2019-11-06,Original Title,2019-11-22,2019,King,TUKWILA,WA,98168,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R40G,232564692,2016,FORD,Focus,Passenger,76,28,Actual Mileage,New,31040,2017-01-02,Original Title,2017-01-19,2017,King,BOTHELL,WA,98011,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R40H,348837072,2017,FORD,Focus,Passenger,100,350,Actual Mileage,New,30616,2017-08-21,Original Title,2017-09-01,2017,Benton,BENTON CITY,WA,99320,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Battery Electric Vehicle (BEV),1FADP3R41D,184509573,2013,FORD,Focus,Passenger,76,30267,Actual Mileage,Used,7899,2017-02-10,Transfer Title,2017-03-08,2017,King,SEATTLE,WA,98115,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R41E,169590438,2014,FORD,Focus,Passenger,76,25616,Actual Mileage,Used,8500,2017-01-03,Transfer Title,2017-01-23,2017,Kitsap,PORT ORCHARD,WA,98367,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R41F,473995735,2015,FORD,Focus,Passenger,76,12618,Actual Mileage,Used,12491,2019-03-16,Original Title,2019-04-05,2019,King,SHORELINE,WA,98155,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R41G,245570244,2016,FORD,Focus,Passenger,76,22801,Actual Mileage,Used,12921,2023-06-13,Original Title,2023-07-05,2023,Clark,VANCOUVER,WA,98684,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Battery Electric Vehicle (BEV),1FADP3R41H,187339232,2017,FORD,Focus,Passenger,100,60,Actual Mileage,New,28685,2017-08-09,Original Title,2017-08-30,2017,Pierce,TACOMA,WA,98407,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Battery Electric Vehicle (BEV),1FADP3R41J,170356273,2018,FORD,Focus,Passenger,100,14177,Actual Mileage,Used,15376,2021-06-22,Original Title,2021-06-25,2021,Clark,VANCOUVER,WA,98684,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Battery Electric Vehicle (BEV),1FADP3R42D,1680920,2013,FORD,Focus,Passenger,76,24609,Actual Mileage,Used,8995,2016-12-20,Transfer Title,2016-12-27,2016,King,SEATTLE,WA,98107,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R42E,251917382,2014,FORD,Focus,Passenger,76,30376,Actual Mileage,Used,35200,2017-02-28,Transfer Title,2017-03-22,2017,King,BLACK DIAMOND,WA,98010,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R42F,179222270,2015,FORD,Focus,Passenger,76,43859,Actual Mileage,Used,9738,2021-09-16,Original Title,2021-09-30,2021,Clark,VANCOUVER,WA,98664,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Battery Electric Vehicle (BEV),1FADP3R42G,139383380,2016,FORD,Focus,Passenger,76,10,Actual Mileage,New,30739,2016-12-23,Original Title,2017-01-04,2017,King,FEDERAL WAY,WA,98003,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R42H,258500987,2017,FORD,Focus,Passenger,100,22,Actual Mileage,New,27075,2017-06-17,Original Title,2017-07-03,2017,King,KENT,WA,98031,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R43D,193311877,2013,FORD,Focus,Passenger,76,34406,Actual Mileage,Used,9500,2016-12-28,Original Title,2017-01-09,2017,Snohomish,LYNNWOOD,WA,98036,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R43E,165741796,2014,FORD,Focus,Passenger,76,15311,Actual Mileage,Used,10950,2016-12-04,Original Title,2016-12-29,2016,Benton,KENNEWICK,WA,99338,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Battery Electric Vehicle (BEV),1FADP3R43F,210023306,2015,FORD,Focus,Passenger,76,15236,Actual Mileage,Used,12498,2017-04-04,Original Title,2017-04-19,2017,Snohomish,MOUNTLAKE TERRACE,WA,98043,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R43G,348274244,2016,FORD,Focus,Passenger,76,8,Actual Mileage,New,27858,2016-12-03,Original Title,2016-12-15,2016,King,FEDERAL WAY,WA,98023,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R43J,236860571,2018,FORD,Focus,Passenger,100,71,Actual Mileage,New,31235,2018-04-05,Original Title,2018-04-16,2018,King,SEATTLE,WA,98133,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R44D,342399200,2013,FORD,Focus,Passenger,76,22635,Actual Mileage,Used,11200,2017-09-04,Transfer Title,2017-09-21,2017,Kitsap,BREMERTON,WA,98311,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R44E,343807474,2014,FORD,Focus,Passenger,76,19396,Actual Mileage,Used,12523,2017-09-03,Original Title,2017-09-14,2017,King,SAMMAMISH,WA,98075,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R44F,478683880,2015,FORD,Focus,Passenger,76,38917,Actual Mileage,Used,8949,2019-10-05,Original Title,2019-10-18,2019,Pierce,PARKLAND,WA,98446,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY
Battery Electric Vehicle (BEV),1FADP3R44G,146745749,2016,FORD,Focus,Passenger,76,32,Actual Mileage,New,28040,2017-04-30,Original Title,2017-05-15,2017,Snohomish,LYNNWOOD,WA,98036,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R44H,206336987,2017,FORD,Focus,Passenger,100,25,Actual Mileage,New,29750,2017-04-26,Original Title,2017-05-15,2017,Kitsap,POULSBO,WA,98370,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R44J,201858905,2018,FORD,Focus,Passenger,100,12885,Actual Mileage,Used,21995,2022-05-14,Original Title,2022-05-31,2022,Snohomish,SNOHOMISH,WA,98290,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R45D,116223054,2013,FORD,Focus,Passenger,76,25739,Actual Mileage,Used,9800,2017-01-05,Transfer Title,2017-01-25,2017,King,SEATTLE,WA,98168,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R45E,258417939,2014,FORD,Focus,Passenger,76,33173,Actual Mileage,Used,8995,2017-01-31,Original Title,2017-02-14,2017,Benton,KENNEWICK,WA,99338,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Battery Electric Vehicle (BEV),1FADP3R45F,249168482,2015,FORD,Focus,Passenger,76,21659,Actual Mileage,Used,9999,2019-08-12,Transfer Title,2019-09-19,2019,King,REDMOND,WA,98053,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R45G,120158797,2016,FORD,Focus,Passenger,76,34,Actual Mileage,New,29170,2017-03-25,Original Title,2017-04-03,2017,Thurston,OLYMPIA,WA,98503,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R45H,143195272,2017,FORD,Focus,Passenger,100,47,Actual Mileage,New,28685,2017-10-29,Original Title,2017-11-22,2017,King,RENTON,WA,98058,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R45J,142405749,2018,FORD,Focus,Passenger,100,23917,Actual Mileage,Used,18745,2021-01-18,Original Title,2021-01-27,2021,Pierce,BONNEY LAKE,WA,98391,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R46D,289313370,2013,FORD,Focus,Passenger,76,20442,Actual Mileage,Used,13672,2017-03-09,Transfer Title,2017-04-05,2017,Lewis,CENTRALIA,WA,98531,BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R46E,312221451,2014,FORD,Focus,Passenger,76,15584,Actual Mileage,Used,29170,2017-03-05,Original Title,2017-03-29,2017,King,MAPLE VALLEY,WA,98038,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R46F,235323021,2015,FORD,Focus,Passenger,76,33600,Actual Mileage,Used,4500,2021-01-09,Transfer Title,2021-01-27,2021,King,KIRKLAND,WA,98033,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R46G,115676137,2016,FORD,Focus,Passenger,76,53,Actual Mileage,New,24988,2017-04-04,Original Title,2017-04-19,2017,Thurston,OLYMPIA,WA,98503,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R46H,169842634,2017,FORD,Focus,Passenger,100,8,Actual Mileage,New,31075,2017-03-24,Original Title,2017-04-27,2017,King,FEDERAL WAY,WA,98003,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R47D,152699025,2013,FORD,Focus,Passenger,76,12779,Actual Mileage,Used,41365,2016-12-13,Transfer Title,2017-01-25,2017,Kitsap,BAINBRIDGE ISLAND,WA,98110,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R47E,171829465,2014,FORD,Focus,Passenger,76,25980,Actual Mileage,Used,10400,2016-12-13,Original Title,2016-12-27,2016,King,REDMOND,WA,98052,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R47F,201852731,2015,FORD,Focus,Passenger,76,46460,Actual Mileage,Used,15000,2022-05-01,Original Title,2022-06-02,2022,Spokane,SPOKANE,WA,99207,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Battery Electric Vehicle (BEV),1FADP3R47G,167003000,2016,FORD,Focus,Passenger,76,132,Actual Mileage,New,31040,2017-03-10,Original Title,2017-04-21,2017,King,REDMOND,WA,98052,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R47H,127454120,2017,FORD,Focus,Exempt (State/County/Local/Tribal),100,11,Actual Mileage,New,31222,2017-06-26,Original Title,2017-07-25,2017,King,SEATTLE,WA,98104,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R48D,207588475,2013,FORD,Focus,Passenger,76,30529,Actual Mileage,Used,8995,2016-12-23,Original Title,2016-12-28,2016,Snohomish,EVERETT,WA,98201,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R48E,105724923,2014,FORD,Focus,Passenger,76,30660,Actual Mileage,Used,10867,2017-03-18,Transfer Title,2017-04-10,2017,King,SAMMAMISH,WA,98075,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R48F,144404214,2015,FORD,Focus,Passenger,76,25670,Actual Mileage,Used,11300,2018-01-06,Transfer Title,2018-01-09,2018,Clark,RIDGEFIELD,WA,98642,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Battery Electric Vehicle (BEV),1FADP3R48G,105394257,2016,FORD,Focus,Passenger,76,28,Actual Mileage,New,29298,2017-02-14,Original Title,2017-03-08,2017,King,AUBURN,WA,98092,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R48H,199426930,2017,FORD,Focus,Exempt (State/County/Local/Tribal),100,5,Actual Mileage,New,28516,2017-05-08,Original Title,2017-05-10,2017,Snohomish,EVERETT,WA,98201,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R48J,112949903,2018,FORD,Focus,Passenger,100,7,Actual Mileage,New,29711,2018-05-14,Original Title,2018-05-22,2018,King,FEDERAL WAY,WA,98023,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R49D,669175,2013,FORD,Focus,Passenger,76,33684,Actual Mileage,Used,7800,2017-02-04,Transfer Title,2017-02-24,2017,Benton,KENNEWICK,WA,99336,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Battery Electric Vehicle (BEV),1FADP3R49E,120117357,2014,FORD,Focus,Passenger,76,26542,Actual Mileage,Used,29170,2017-01-04,Original Title,2017-01-27,2017,King,REDMOND,WA,98053,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Battery Electric Vehicle (BEV),1FADP3R49F,250730126,2015,FORD,Focus,Passenger,76,1188,Actual Mileage,Used,12480,2017-01-28,Transfer Title,2017-03-14,2017,Skagit,MOUNT VERNON,WA,98273,PUGET SOUND ENERGY INC
Battery Electric Vehicle (BEV),1FADP3R49G,263776334,2016,FORD,Focus,Passenger,76,10,Actual Mileage,New,26725,2017-03-09,Original Title,2017-03-28,2017,Chelan,LEAVENWORTH,WA,98826,PUD NO 1 OF CHELAN COUNTY
Battery Electric Vehicle (BEV),1FADP3R49H,340258215,2017,FORD,Focus,Passenger,100,150,Actual Mileage,New,28330,2017-08-02,Original Title,2017-08-03,2017,Pierce,TACOMA,WA,98407,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Battery Electric Vehicle (BEV),1FADP3R49J,179159186,2018,FORD,Focus,Passenger,100,29935,Actual Mileage,Used,16000,2021-09-25,Original Title,2021-10-22,2021,Whitman,PULLMAN,WA,99163,AVISTA CORP
